Study_ID,ES_ID,Title,Year,Authors,Outcome_Name,Outcome_Dimension,Blooms_Level,n_Treatment,n_Control,M_Treatment,SD_Treatment,M_Control,SD_Control,Hedges_g,SE_g,Verification_Status,Verification_Confidence,Data_Tier
16,016_06,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Quiz,cognitive,remember,35.0,21.0,1.54,0.23,1.49,0.25,0.2169,,MANUAL_VERIFIED,100.0,1
16,016_07,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Exam,cognitive,understand,37.0,22.0,16.56,3.96,15.29,3.38,0.3355,,MANUAL_VERIFIED,100.0,1
19,019_01,Generative Artificial Intelligence Amplifies the Role of Critical Thinking Skills and Reduces Reliance on Prior Knowledge While Promoting In-Depth Learning,2025.0,Guoqing Zhao; Haixi Sheng; Yaxuan Wang; Xiaohui Cai; Taotao Long,Knowledge Retention,cognitive,remember,89.0,37.0,21.815,2.926,21.38,3.419,0.1405,0.1958,PARTIALLY_VERIFIED,25.0,2
19,019_02,Generative Artificial Intelligence Amplifies the Role of Critical Thinking Skills and Reduces Reliance on Prior Knowledge While Promoting In-Depth Learning,2025.0,Guoqing Zhao; Haixi Sheng; Yaxuan Wang; Xiaohui Cai; Taotao Long,Knowledge Transfer,cognitive,apply,89.0,37.0,3.92,2.137,1.959,1.969,0.9328,0.2042,PARTIALLY_VERIFIED,25.0,2
21,021_01,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,learning performance,cognitive,create,21.0,15.0,85.0,4.243,68.67,3.055,4.2029,0.5997,OCR_VERIFIED,100.0,1
21,021_02,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,learning performance - novelty,cognitive,create,21.0,15.0,27.0,2.16,20.0,0.0,4.131510989305382,0.5927566776806783,OCR_VERIFIED,100.0,1
21,021_03,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,learning performance - fluency,cognitive,create,21.0,15.0,35.0,1.826,27.33,1.528,4.3867,0.6177,OCR_VERIFIED,100.0,1
21,021_04,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,learning performance - originality,cognitive,create,21.0,15.0,23.0,0.816,21.33,1.528,1.4038,0.3764,OCR_VERIFIED,100.0,1
21,021_05,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,AI awareness,metacognitive,,21.0,15.0,34.33,2.65,32.47,1.6,0.7987,0.3509,OCR_VERIFIED,100.0,1
21,021_06,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,AI awareness - perceived comfort,affective,,21.0,15.0,18.0,1.2,15.47,0.9,2.2767,0.4316,OCR_VERIFIED,100.0,1
21,021_07,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,AI awareness - attitude,affective,,21.0,15.0,18.57,1.6,16.47,0.91,1.5109,0.3821,OCR_VERIFIED,100.0,1
21,021_08,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking,cognitive,evaluate,21.0,15.0,113.7,7.8,123.7,9.881,-1.1217,0.363,OCR_VERIFIED,100.0,1
21,021_09,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - truth seeking,cognitive,evaluate,21.0,15.0,12.29,0.9,14.0,1.2,-1.6168,0.3881,OCR_VERIFIED,100.0,1
